source_id,target_id,pair_id,label,cosine_tfidf,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment,year_abs_diff,year_num_equal,venue_lev,venue_jaccard,venue_relaxed_jaccard,venue_overlap,venue_cosine_tfidf,venue_containment,authors_lev,authors_jaccard,authors_relaxed_jaccard,authors_overlap,authors_cosine_tfidf,authors_containment
2563,6425,2563-6425,0,0.16727918573395634,0.49382716049382713,0.23529411764705882,0.23529411764705882,0.0,0.18459687984562534,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1861,64163,1861-64163,1,0.6426580624756568,0.6111111111111112,0.5714285714285714,0.5714285714285714,0.0,0.6859707351448975,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9047619047619048,0.5,1.0,0.0,0.4786799102443074,0.6666666666666666
2187,64008,2187-64008,1,0.8708299032097063,0.736842105263158,0.5384615384615384,0.5384615384615384,0.0,0.6930179095988755,0.7777777777777778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
611,15632,611-15632,0,0.20617375052629663,0.19672131147540983,0.2,0.2857142857142857,0.0,0.2629373909647652,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2647058823529411,0.18181818181818182,0.18181818181818182,0.0,0.20531538944300443,0.5
631,27684,631-27684,0,0.29492982818917746,0.28378378378378377,0.23529411764705882,0.23529411764705882,0.0,0.370011683115369,0.4444444444444444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2454,7504,2454-7504,0,0.5307668987226045,0.40625,0.35714285714285715,0.35714285714285715,0.0,0.5377870191696799,0.5882352941176471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1834,45355,1834-45355,0,0.2869101184433073,0.6052631578947368,0.3684210526315789,0.3684210526315789,0.0,0.3505532333315015,0.5384615384615384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
283,25847,283-25847,0,0.47098494025496535,0.5,0.2727272727272727,0.2727272727272727,0.0,0.4426533041074436,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1105,60693,1105-60693,0,0.14864676310735686,0.26190476190476186,0.42857142857142855,0.42857142857142855,0.0,0.18901793484026952,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11111111111111116,0.0,0.0,0.0,0.0,0.0
1480,45262,1480-45262,1,0.7725317112234746,0.7073170731707317,0.5555555555555556,0.5555555555555556,0.0,0.9121942213218948,0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7307692307692308,0.7777777777777778,0.7777777777777778,0.0,0.658066347881459,1.0
1012,631,1012-631,0,0.23420198816766835,0.3076923076923077,0.25,0.25,0.0,0.39817325500992906,0.5714285714285714,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2076,1563,2076-1563,0,0.02692821701897754,0.5151515151515151,0.2222222222222222,0.375,0.0,0.08585496833235813,0.4,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1477272727272727,0.0,0.0,0.0,0.0,0.0
944,63682,944-63682,1,0.4880920258946566,0.48235294117647054,0.26666666666666666,0.46153846153846156,0.0,0.43512974486620076,0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,6179,19-6179,0,0.2717106098696507,0.34285714285714286,0.375,0.375,0.0,0.562875113911208,0.6,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
