source_id,target_id,pair_id,label,cosine_tfidf,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment,price_abs_diff,price_num_equal,modelno_day_diff,modelno_month_diff,modelno_year_diff,brand_lev,brand_jaccard,brand_relaxed_jaccard,brand_overlap,brand_containment,category_lev,category_jaccard,category_relaxed_jaccard,category_overlap,category_containment
581,17384,581-17384,0,0.3890063296721617,0.3660714285714286,0.3157894736842105,0.3157894736842105,0.0,0.22223090546379234,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1502,3825,1502-3825,0,0.28503631510941213,0.5178571428571428,0.38461538461538464,0.38461538461538464,0.0,0.2601466466201451,0.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.0,0.0,0.0,0.0
337,20538,337-20538,0,0.15769000441847877,0.2828282828282829,0.3888888888888889,0.3888888888888889,0.0,0.20603508059605918,0.5833333333333334,39.42999999999999,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,13427,53-13427,0,0.44317751997868315,0.5930232558139534,0.45,0.45,0.0,0.4388849230945644,0.6923076923076923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1560,3823,1560-3823,0,0.24716907312596056,0.36,0.4,0.4,0.0,0.3402080192818121,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.08333333333333337,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2019,18973,2019-18973,0,0.44181723289708874,0.550561797752809,0.44,0.44,0.0,0.37192618845126363,0.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2422,1257,2422-1257,0,0.038990922892684465,0.5595238095238095,0.24,0.34782608695652173,0.0,0.0,0.42857142857142855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26315789473684215,0.0,0.0,0.0,0.0
155,3446,155-3446,1,0.5061429431013995,0.42105263157894735,0.5555555555555556,0.5555555555555556,0.0,0.7107706394033778,0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2666666666666667,0.0,0.0,0.0,0.0
261,5192,261-5192,1,0.7227452938456618,0.696969696969697,0.8,0.8,0.0,0.7697207660313543,1.0,8.949999999999989,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4117647058823529,0.0,0.3333333333333333,0.0,0.0
25,12,25-12,0,0.0,0.410958904109589,0.38461538461538464,0.38461538461538464,0.0,0.0,0.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.368421052631579,0.0,0.3333333333333333,0.0,0.0
483,1149,483-1149,0,0.0,0.44303797468354433,0.4444444444444444,0.5294117647058824,0.0,0.0,0.7272727272727273,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.6666666666666666,0.6666666666666666,0.0,1.0
376,9389,376-9389,1,0.7770227890838706,0.5308641975308642,0.5333333333333333,0.5333333333333333,0.0,0.8273751737358127,0.8,8.769999999999996,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1564,12948,1564-12948,0,0.3778484346649334,0.4329896907216495,0.29411764705882354,0.29411764705882354,0.0,0.3926352378062832,0.5,12.09,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,19216,23-19216,0,0.4073598645020686,0.31999999999999995,0.2857142857142857,0.2857142857142857,0.0,0.34974963948665133,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
417,17561,417-17561,0,0.4302848039863239,0.607843137254902,0.5,0.5,0.0,0.4248758326919923,0.7692307692307693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1241,18557,1241-18557,0,0.4469205771201327,0.42391304347826086,0.3333333333333333,0.3333333333333333,0.0,0.33626712916651563,0.5384615384615384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1424,11809,1424-11809,0,0.6100687867445042,0.36585365853658536,0.42857142857142855,0.42857142857142855,0.0,0.6443528470457234,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1578947368421053,0.0,0.0,0.0,0.0
1532,14949,1532-14949,0,0.4176662064596372,0.42105263157894735,0.36,0.36,0.0,0.4038339286412152,0.5625,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
978,19689,978-19689,0,0.3718796310478051,0.5735294117647058,0.46153846153846156,0.46153846153846156,0.0,0.4230334461404657,0.75,18.83,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.18518518518518523,0.0,0.0,0.0,0.0
576,18443,576-18443,0,0.4539191428465539,0.4444444444444444,0.4,0.4,0.0,0.41380771003334565,0.6153846153846154,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,14509,99-14509,0,0.36804166085944634,0.5,0.27586206896551724,0.27586206896551724,0.0,0.27789233796343327,0.5333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5,0.5,0.0,1.0
