source_id,target_id,pair_id,label,cosine_tfidf,Released_lev,Released_jaccard,Released_relaxed_jaccard,Released_overlap,Released_containment,Genre_lev,Genre_jaccard,Genre_relaxed_jaccard,Genre_overlap,Genre_cosine_tfidf,Genre_containment,CopyRight_lev,CopyRight_jaccard,CopyRight_relaxed_jaccard,CopyRight_overlap,CopyRight_cosine_tfidf,CopyRight_containment,Time_lev,Time_jaccard,Time_relaxed_jaccard,Time_overlap,Time_containment,Album_Name_lev,Album_Name_jaccard,Album_Name_relaxed_jaccard,Album_Name_overlap,Album_Name_containment,Price_lev,Price_jaccard,Price_relaxed_jaccard,Price_overlap,Price_containment,Song_Name_lev,Song_Name_jaccard,Song_Name_relaxed_jaccard,Song_Name_overlap,Song_Name_cosine_tfidf,Song_Name_containment,Artist_Name_lev,Artist_Name_jaccard,Artist_Name_relaxed_jaccard,Artist_Name_overlap,Artist_Name_containment
1409,51560,1409-51560,0,0.4410542689510763,0.2727272727272727,0.5,0.5,0.0,0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.45783132530120485,0.2727272727272727,0.2727272727272727,0.0,0.205576187409665,0.42857142857142855,-1.0,-1.0,-1.0,-1.0,-1.0
1289,34035,1289-34035,0,0.2833001568846062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6060606060606061,0.5714285714285714,0.5714285714285714,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3936170212765957,0.14285714285714285,0.14285714285714285,0.0,0.057883136493577944,0.2857142857142857,-1.0,-1.0,-1.0,-1.0,-1.0
2666,35475,2666-35475,1,0.8202680695216178,0.2666666666666667,0.2,0.2,0.0,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1470588235294118,0.17647058823529413,0.17647058823529413,0.0,0.33996363587560424,0.75,-1.0,-1.0,-1.0,-1.0,-1.0
1157,27989,1157-27989,0,0.15691993851160937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25210084033613445,0.14583333333333334,0.1702127659574468,0.0,0.09332057441361058,0.3888888888888889,-1.0,-1.0,-1.0,-1.0,-1.0
3332,7412,3332-7412,0,0.5684240538225478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.625,0.6666666666666666,0.6666666666666666,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2865497076023392,0.08888888888888889,0.08888888888888889,0.0,0.01999320755735132,0.2,-1.0,-1.0,-1.0,-1.0,-1.0
1303,34060,1303-34060,0,0.3057555512852267,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6060606060606061,0.5714285714285714,0.5714285714285714,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.38613861386138615,0.25,0.25,0.0,0.1899657396323344,0.4666666666666667,-1.0,-1.0,-1.0,-1.0,-1.0
1155,9941,1155-9941,0,0.06427508110259204,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16216216216216217,0.0625,0.0625,0.0,0.029875184861173,0.2727272727272727,-1.0,-1.0,-1.0,-1.0,-1.0
4733,43755,4733-43755,0,0.08426368982937503,-1.0,-1.0,-1.0,-1.0,-1.0,0.6842105263157895,0.6666666666666666,0.6666666666666666,0.0,0.7839639716244964,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.22666666666666668,0.05555555555555555,0.05555555555555555,0.0,0.0238262601980268,0.2,0.1875,0.3333333333333333,0.3333333333333333,0.0,0.5
3949,38669,3949-38669,0,0.25256735404514163,0.25,0.2,0.2,0.0,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24822695035460995,0.15625,0.15625,0.0,0.17394041736860621,0.45454545454545453,-1.0,-1.0,-1.0,-1.0,-1.0
2477,1222,2477-1222,0,0.016413582263433677,0.3076923076923077,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.30434782608695654,0.0,0.16666666666666666,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19999999999999996,0.0625,0.0625,0.0,0.03786847043996829,0.14285714285714285,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.0,0.5
