source_id,target_id,pair_id,label,cosine_tfidf,venue_lev,venue_jaccard,venue_relaxed_jaccard,venue_overlap,venue_cosine_tfidf,venue_containment,authors_lev,authors_jaccard,authors_relaxed_jaccard,authors_overlap,authors_cosine_tfidf,authors_containment,year_abs_diff,year_num_equal,title_lev,title_jaccard,title_relaxed_jaccard,title_overlap,title_cosine_tfidf,title_containment
2563,6425,2563-6425,0,0.16787728802294588,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2272727272727273,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.5217391304347826,0.25,0.25,0.0,0.23333504561333598,0.42857142857142855
1861,64163,1861-64163,1,0.6054945639383202,0.10256410256410253,0.125,0.125,0.0,0.2540303339097286,1.0,0.9047619047619048,0.5,1.0,0.0,0.48285319280355643,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.861381989248716,1.0
2187,64008,2187-64008,1,0.8690974257524609,0.022727272727272707,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9090909090909091,0.8571428571428571,0.8571428571428571,0.0,0.9328504216627936,1.0
611,15632,611-15632,0,0.20717310422171317,0.22916666666666663,0.1,0.1,0.0,0.14794711799907334,0.5,0.2647058823529411,0.18181818181818182,0.18181818181818182,0.0,0.19751058268090338,0.5,-1.0,-1.0,0.4107142857142857,0.25,0.36363636363636365,0.0,0.28102061382564353,0.5
631,27684,631-27684,0,0.2980304764444067,0.24242424242424243,0.16666666666666666,0.16666666666666666,0.0,0.1740286130580517,0.5,0.11764705882352944,0.2,0.2,0.0,0.0,0.3333333333333333,-1.0,-1.0,0.42500000000000004,0.42857142857142855,0.42857142857142855,0.0,0.5910392584985914,0.75
2454,7504,2454-7504,0,0.5321955678211074,0.06382978723404253,0.0,0.0,0.0,0.0,0.0,0.5806451612903225,0.7142857142857143,0.7142857142857143,0.0,0.8263272762234783,1.0,-1.0,-1.0,0.4675324675324676,0.3333333333333333,0.3333333333333333,0.0,0.5246987520556499,0.6666666666666666
1834,45355,1834-45355,0,0.28766962012654274,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13793103448275867,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5970149253731343,0.42857142857142855,0.42857142857142855,0.0,0.41933407303725845,0.8571428571428571
283,25847,283-25847,0,0.4640264816158391,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4666666666666667,0.2,0.2,0.0,0.3279183581198291,0.3333333333333333,-1.0,-1.0,0.65625,0.5,0.5,0.0,0.6271063641465844,0.75
1105,60693,1105-60693,0,0.14519992424129413,0.27083333333333337,0.1111111111111111,0.1111111111111111,0.0,0.132157194586321,0.5,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.3571428571428571,0.6,0.6,0.0,0.23762059070278901,0.75
1480,45262,1480-45262,1,0.7389682313426942,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.0,0.49340433090347946,1.0,0.7307692307692308,0.7777777777777778,0.7777777777777778,0.0,0.6557977609625337,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1012,631,1012-631,0,0.23667216451483541,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4666666666666667,0.5,0.5,0.0,0.38463643151437077,0.75
2076,1563,2076-1563,0,0.026272509007570444,1.0,1.0,1.0,1.0,1.0,1.0,0.1477272727272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6060606060606061,0.25,0.42857142857142855,0.0,0.0,0.4
944,63682,944-63682,1,0.49002280298320566,0.06666666666666665,0.25,0.25,0.0,0.35697292333526504,0.5,0.65,0.25,0.25,0.0,0.36474333772945156,0.5,-1.0,-1.0,0.9148936170212766,0.4444444444444444,0.8571428571428571,0.0,0.5734718598335393,0.6666666666666666
19,6179,19-6179,0,0.2657668416558816,0.04081632653061229,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3142857142857143,0.42857142857142855,0.42857142857142855,0.0,0.6072475301247073,0.75
95,5659,95-5659,0,0.24143552070693833,0.03125,0.0,0.0,0.0,0.0,0.0,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.3561643835616438,0.2857142857142857,0.2857142857142857,0.0,0.41485100477709036,0.5714285714285714
794,20719,794-20719,0,0.17320047226087856,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13043478260869568,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4666666666666667,0.4,0.4,0.0,0.4667048145666349,1.0
990,12798,990-12798,0,0.24486645577216612,0.4117647058823529,0.25,0.25,0.0,0.3914540257478562,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.29268292682926833,0.4444444444444444,0.4444444444444444,0.0,0.3358035902407013,0.6666666666666666
1082,25283,1082-25283,1,0.5987558799485186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
2161,932,2161-932,0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4358974358974359,0.25,0.25,0.0,0.0,0.5
2455,31743,2455-31743,0,0.4588059973375788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.3589743589743589,0.5714285714285714,0.5714285714285714,0.0,0.7103397384442685,0.8
909,38317,909-38317,1,0.7249127991818012,0.6774193548387097,0.2857142857142857,0.2857142857142857,0.0,0.25234531616937284,0.5,0.9285714285714286,0.875,0.875,0.0,0.9535557261061582,1.0,-1.0,-1.0,0.8103448275862069,0.7,0.8888888888888888,0.0,0.7141805438008388,0.875
1219,41899,1219-41899,0,0.1016717450301823,0.023809523809523836,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4897959183673469,0.2222222222222222,0.2222222222222222,0.0,0.24582438522424743,0.5
19,57159,19-57159,0,0.21888624951443664,0.0625,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3333333333333333,-1.0,-1.0,0.5,0.375,0.375,0.0,0.4903881993773488,0.75
1656,45351,1656-45351,1,0.8591200947353268,1.0,1.0,1.0,1.0,1.0,1.0,0.5294117647058824,0.5,0.5,0.0,0.772019966349393,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1187,4546,1187-4546,1,0.6481988179075651,0.43999999999999995,0.16666666666666666,0.16666666666666666,0.0,0.1831918797852137,0.5,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.0,0.5195901719386289,0.8333333333333334,-1.0,-1.0,0.6818181818181819,0.75,0.75,0.0,0.7637693848337157,1.0
558,2895,558-2895,0,0.1428250034549758,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.48275862068965514,0.2857142857142857,0.2857142857142857,0.0,0.27458650349862235,0.5
665,3408,665-3408,0,0.22404480039158298,0.18181818181818177,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23611111111111116,0.38461538461538464,0.38461538461538464,0.0,0.43151695397384443,0.7142857142857143
1207,1852,1207-1852,0,0.0,0.030303030303030276,0.0,0.0,0.0,0.0,0.0,0.1578947368421053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7222222222222222,0.5,0.5,0.0,0.0,0.6666666666666666
1953,42525,1953-42525,0,0.23800116009706196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11111111111111116,0.2,0.2,0.0,0.0,0.5,-1.0,-1.0,0.6304347826086957,0.4444444444444444,0.4444444444444444,0.0,0.44424489426806757,0.6666666666666666
171,1241,171-1241,1,0.02418079124529276,0.04255319148936165,0.0,0.0,0.0,1.0,0.0,0.696969696969697,0.5,0.6666666666666666,0.0,0.0,0.7142857142857143,-1.0,-1.0,0.8076923076923077,0.6,0.6,0.0,0.0,1.0
612,5130,612-5130,0,0.2578667712485783,0.3142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.21805469892610985,0.5,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.41860465116279066,0.4444444444444444,0.4444444444444444,0.0,0.4967381530329026,0.8
1612,21786,1612-21786,0,0.1508793286065515,0.24,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.15384615384615385,0.15384615384615385,0.0,0.0,0.2857142857142857,-1.0,-1.0,0.46341463414634143,0.25,0.25,0.0,0.4460739737891918,0.5
2281,2887,2281-2887,0,0.1761088475431922,0.5,0.3333333333333333,0.3333333333333333,0.0,0.6393062083290592,0.5,0.2142857142857143,0.1,0.1,0.0,0.0,0.2,-1.0,-1.0,0.37777777777777777,0.3,0.3,0.0,0.24820177905201196,0.5
1399,29840,1399-29840,0,0.1002038861325622,0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.15000000000000002,0.2222222222222222,0.2222222222222222,0.0,0.21879515649360737,0.4
1829,13738,1829-13738,0,0.1310895703814185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,0.0,0.53125,0.2857142857142857,0.2857142857142857,0.0,0.28067908718804013,0.5
2001,45908,2001-45908,0,0.18420700700630244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13793103448275867,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.45945945945945943,0.3333333333333333,0.3333333333333333,0.0,0.43463842556299215,0.6666666666666666
